Title,Company,Salary,Location,Description,Posted,Link
"Front-end Developer (React.js, Bootstrap, HTML, CSS)",Mexilet Technologies Private Limited,"₹8,000 - ₹20,000 a month","Remote in Cannanore, Kerala","Develop and implement user-friendly and responsive web applications using React.js, Bootstrap, HTML, and CSS.
Collaborate with cross-functional teams to design,…",EmployerActive 5 days ago,https://in.indeed.com/company/Mexilet-Technologies-Private-Limited/jobs/Front-End-Developer-d550c323d9fd14d6?fccid=d50e374ad41798da&vjs=3
React JS Developer,Britannica Overseas Education Pvt. Ltd.,"₹4,20,000 - ₹7,00,000 a year","Gurgaon, Haryana","Relevant experience - 3 Years in React js.
Develop a flexible & well-structured frontend architecture, along with the APIs to support it.",PostedPosted 2 days ago,https://in.indeed.com/company/Britannica-Overseas-Education/jobs/Developer-54df7bcd0f2d41ef?fccid=0cb46090a015d567&vjs=3
Frontend (React.js),Design Qandy,"₹8,00,000 - ₹16,00,000 a year","Mumbai, Maharashtra",Looking for a passionate and hardworking Software Development Engineer 3 – Frontend with a bachelor’s degree or equivalent and minimum of 3 years of experience…,EmployerActive 7 days ago,https://in.indeed.com/company/Design-Qandy/jobs/Front-End-Associate-0c9c60ff68012004?fccid=c1c3e8c9572732a1&vjs=3
Frontend Developer,BigShyft,"₹9,00,000 - ₹15,00,000 a year","Pune, Maharashtra+3 locations","Developing new user-facing features using React.js.
Building reusable components and front-end libraries for future use.
Designing and conducting unit tests.",PostedPosted 6 days ago,https://in.indeed.com/rc/clk?jk=e1fc32605aeed89a&fccid=df4303b9957be85e&vjs=3
Frontend Developer,Webfity,"From ₹41,413 a month","Delhi, Delhi","In this role, you will be responsible for translating user and business needs into functional frontend code.
Understanding the limitations of our tech stack and…",EmployerActive 11 days ago,https://in.indeed.com/company/Webfity/jobs/Front-End-Developer-d6caabdc79d251e7?fccid=905b1c631bf0f0d9&vjs=3
React.js Developer,BigShyft,"₹9,00,000 - ₹12,00,000 a year","Bengaluru, Karnataka","Meeting with the development team to discuss user interface.
Reviewing application requirements and interface designs.
Identifying web-based user interactions.",PostedJust posted,https://in.indeed.com/rc/clk?jk=c99d38f9941d2351&fccid=df4303b9957be85e&vjs=3
"Front-end Developer (React.js, Bootstrap, HTML, CSS)",Mexilet Technologies Private Limited,"₹8,000 - ₹20,000 a month","Remote in Cannanore, Kerala","About Us: We are a dynamic and innovative company seeking passionate and experienced Front-end Developers to join our team.
Total work: 1 year (Preferred).",EmployerActive 5 days ago,https://in.indeed.com/company/Mexilet-Technologies-Private-Limited/jobs/Front-End-Developer-d550c323d9fd14d6?fccid=d50e374ad41798da&vjs=3
React.js Developer,FlexiEle,not specified,Remote,"Developing and implementing highly responsive user interface components using react concepts.
Meeting with the development team to discuss user interface ideas…",PostedPosted 5 days ago,https://in.indeed.com/rc/clk?jk=3a023295fcb6371b&fccid=de037aae45dacd45&vjs=3
Software Engineer- Frontend,PayU,not specified,"Gurgaon, Haryana","PayU, a leading payment and Fintech company in 50+ high-growth markets throughout Asia, Central and Eastern Europe, Latin America, the Middle East and Africa,…",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=76a1aca20ec4f7f1&fccid=c1bec49d1ea92b43&vjs=3
Software Engineer,NatWest Group,not specified,"Gurgaon, Haryana+2 locations","Experience of ReactJS, Redux, react Hooks, javascript, nodeJS, express JS, HTML, CSS and SASS.
Our people work differently depending on their jobs and needs.",PostedPosted 7 days ago,https://in.indeed.com/rc/clk?jk=9bc2500768fddfec&fccid=4a3a2b1eb3ec0691&vjs=3
React JS Developer,Itdose Infosystems Pvt Ltd.,"From ₹25,000 a month","Noida, Uttar Pradesh","COMPANY NAME: ITDose Infosystems Pvt. Ltd.
LOCATION: G-19, G Block, Sector 6, Noida, Uttar Pradesh 201301 .
POSITION TYPE: Full-time, offline .",EmployerActive 5 days ago,https://in.indeed.com/company/Itdose-Infosystems-Pvt-Ltd./jobs/Developer-b0758c216c2a5a08?fccid=1a31488a747599e1&vjs=3
ReactJS Developer intern,Constems-AI,"₹10,000 a month","Noida, Uttar Pradesh","Developing and implementing highly responsive user interface components using react concepts.
Reviewing application requirements and interface designs.",EmployerActive 7 days ago,https://in.indeed.com/company/Constems--AI/jobs/Developer-d734d842994e12da?fccid=51a06c704ec38ccb&vjs=3
React.JS -- Technical Architect,Stigasoft,"₹15,00,000 - ₹20,00,000 a year","Gurgaon, Haryana","We are looking for candidate with good experience in React.JS.
Good hands on experience in React.
Experience in elastic search.
Strong knowledge on HTML5/CSS.",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=1ecee89e2d2ed95f&fccid=f3ac1fe5e70371ad&vjs=3
React JS Developer | Remote,Sofueled Media Pvt. Ltd,"₹20,000 - ₹40,000 a month",Remote in Remote,We are looking for React JS Developers to join our team having strong Knowledge of JavaScript concepts and strong problem solving and analytical capabilities.,PostedToday,https://in.indeed.com/company/Androcid-Media-Pvt.-Ltd/jobs/Developer-887e596b5d6bd6e3?fccid=20a32776a494b250&vjs=3
Junior JavaScript Engineer,MTechZilla,"₹2,40,000 - ₹3,60,000 a year","Remote in Pune, Maharashtra","MTechZilla was started in 2021 with a vision of making IT simple, faster, and less expensive.
In the digital era, an organization should have an online presence…",PostedPosted 1 day ago,https://in.indeed.com/company/MTechZilla/jobs/Junior-Javascript-Developer-02b6b31077f369f2?fccid=b3ace42fea8d233c&vjs=3
Junior React JS Developer,Mother Software and Technology Services,not specified,"Tiruchchirappalli, Tamil Nadu","We are looking for a skilled react.js developer to join our front-end development team.
In this role, you will be responsible for developing and implementing…",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=7521c7eea69a745e&fccid=1d740cef95db9646&vjs=3
Frontend Engineer in React,Mangtas,"₹14,42,811 - ₹46,36,673 a year","Bengaluru, Karnataka","Mangtas is a B2B marketplace of reliable tech vendors.
We specialize in staff augmentation for clients who are building the “Tech of the Future” such as:",EmployerActive 5 days ago,https://in.indeed.com/company/Circle-360-Brand-Solutions/jobs/Front-End-Developer-694c5210fec64a48?fccid=e7c7dfb3478421be&vjs=3
React Js Developer,IMG Global Infotech,not specified,"Remote in Delhi, Delhi","Work Life At Its Best.
Describes work staff to develop academic practices.
Still, many leaders struggle to keep their developers on a lifelong path of skill…",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=453f6186db4dbb9a&fccid=73208070bc07da4c&vjs=3
Full Stack Engineer,ANZ Banking Group,not specified,"Bengaluru, Karnataka","Department: Tech Institutional Markets Domain.
At ANZ our purpose is to shape a world where people and communities thrive.
What will your day look like.",PostedPosted 29 days ago,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdoFW-pgk8qz2lidFvI161WPflgHq6k1T1xIfgNTQtPhDCanp1nZHxe2l0t31lziiIdXXS9AouP2aI_W2nXflcvC6iiCqhkfWp7vb_Tjqzvlsk3D6wTtD-XykG5tU-8QIB_lGcIIqnDwR1ABJdJ4owjvRT5q2L5KI6KyH5lPwxopIRMcvF8pHglf7WQF-WsdaULfa45jterIBMDo3ygISUZe5g5380ehPVaYljoPkhe9UVC3tyMidVXGE4LhPrO9EjWWqNvzOSdZnvYt_HbTsvcgE0r-ncHRhjdrGBmzHr3Lm1z_5A7IdF2kMQ5lsCfCgyMh7lsVAU7PuU48WY5yVCPRNdpRWk53TKntCJ1DVWrk96FZz1pnTTEIf1AHCyxrJCMHTerQykpNNQCcE4wam5u-bm_f0Ldp2elGABXkS1LjMFgciwMALX9nZ53iEI2mFLDmYoVNklJzI_YG0UcWPCL-Q5ZZ2FA-BsZyC2ck1F16qgAUonPwk_12mha01hR8YFwiOANGQl40whjB1NCx02uS_ufIsgeKUn9gk4A0JkL2N3A74ZNa7sI1KWfzZPCF1rZDinZu7N5g==&xkcb=SoDw-_M3M8voX2X1KJ0GbzkdCdPP&p=13&fvj=0&vjs=3
React js development training,Shubhkarman construction,"From ₹10,000 a month","Mohali, Punjab","We are hiring freshers for internship/training.
Job Types: Full-time, Fresher.
Salary: From ₹10,000.00 per month.",Hiring ongoing,https://in.indeed.com/company/Shubhkarman-construction/jobs/Learning-and-Development-Analyst-80ca4ca7c5cfb8f1?fccid=410f2f770ed01143&vjs=3
Frontend Developer,BigShyft,"₹9,00,000 - ₹15,00,000 a year","Pune, Maharashtra+3 locations","Developing new user-facing features using React.js.
Building reusable components and front-end libraries for future use.
Designing and conducting unit tests.",PostedPosted 6 days ago,https://in.indeed.com/rc/clk?jk=e1fc32605aeed89a&fccid=df4303b9957be85e&vjs=3
React JS Consultant,Infosys,not specified,"Pune, Maharashtra+3 locations","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue…",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=ad604c56233608dc&fccid=c67533a523c83a4c&vjs=3
"Engineer, Frontend React",Nagarro,not specified,"Bengaluru, Karnataka","2+ years of experience in developing highly responsive applications using React JS.
Experience in developing user interface components using React JS workflows…",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=b8eba03ba4783452&fccid=be57e01618911e92&vjs=3
React.js Developer,BigShyft,"₹9,00,000 - ₹12,00,000 a year","Bengaluru, Karnataka","Identifying web-based user interactions.
Developing and implementing highly responsive user interface.
Writing application interface codes using JavaScript…",PostedJust posted,https://in.indeed.com/rc/clk?jk=c99d38f9941d2351&fccid=df4303b9957be85e&vjs=3
"Front-end Developer (React.js, Bootstrap, HTML, CSS)",Mexilet Technologies Private Limited,"₹8,000 - ₹20,000 a month","Remote in Cannanore, Kerala","Develop and implement user-friendly and responsive web applications using React.js, Bootstrap, HTML, and CSS.
Collaborate with cross-functional teams to design,…",EmployerActive 5 days ago,https://in.indeed.com/company/Mexilet-Technologies-Private-Limited/jobs/Front-End-Developer-d550c323d9fd14d6?fccid=d50e374ad41798da&vjs=3
React.js Developer,FlexiEle,not specified,Remote,"Developing and implementing highly responsive user interface components using react concepts.
Reviewing application requirements and interface designs.",PostedPosted 5 days ago,https://in.indeed.com/rc/clk?jk=3a023295fcb6371b&fccid=de037aae45dacd45&vjs=3
Software Engineer- Frontend,PayU,not specified,"Gurgaon, Haryana","You will design and build web applications.
You will collaborate with cross-functional teams to define, design, and ship new features.",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=76a1aca20ec4f7f1&fccid=c1bec49d1ea92b43&vjs=3
Software Engineer,NatWest Group,not specified,"Gurgaon, Haryana+2 locations","Experience of ReactJS, Redux, react Hooks, javascript, nodeJS, express JS, HTML, CSS and SASS.
This role is based in India and as such all normal working days…",PostedPosted 7 days ago,https://in.indeed.com/rc/clk?jk=9bc2500768fddfec&fccid=4a3a2b1eb3ec0691&vjs=3
React JS Developer,Itdose Infosystems Pvt Ltd.,"From ₹25,000 a month","Noida, Uttar Pradesh","POSITION TYPE: Full-time, offline .
QUALIFICATIONS: Bachelor’s degree in computer science or a related field. .
Collaborate with other team members.",EmployerActive 5 days ago,https://in.indeed.com/company/Itdose-Infosystems-Pvt-Ltd./jobs/Developer-b0758c216c2a5a08?fccid=1a31488a747599e1&vjs=3
ReactJS Developer intern,Constems-AI,"₹10,000 a month","Noida, Uttar Pradesh","Developing and implementing highly responsive user interface components using react concepts.
Reviewing application requirements and interface designs.",EmployerActive 7 days ago,https://in.indeed.com/company/Constems--AI/jobs/Developer-d734d842994e12da?fccid=51a06c704ec38ccb&vjs=3
React.JS -- Technical Architect,Stigasoft,"₹15,00,000 - ₹20,00,000 a year","Gurgaon, Haryana","Experience in data modelling on firebase.
Strong knowledge on HTML5/CSS.
Good communication skill and can handle client independently.",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=1ecee89e2d2ed95f&fccid=f3ac1fe5e70371ad&vjs=3
React JS Developer | Remote,Sofueled Media Pvt. Ltd,"₹20,000 - ₹40,000 a month",Remote in Remote,We are looking for React JS Developers to join our team having strong Knowledge of JavaScript concepts and strong problem solving and analytical capabilities.,PostedToday,https://in.indeed.com/company/Androcid-Media-Pvt.-Ltd/jobs/Developer-887e596b5d6bd6e3?fccid=20a32776a494b250&vjs=3
Junior React JS Developer,Mother Software and Technology Services,not specified,"Tiruchchirappalli, Tamil Nadu","In this role, you will be responsible for developing and implementing user interface components using React.js concepts and workflows such as Redux, Flux, and…",PostedPosted 30+ days ago,https://in.indeed.com/rc/clk?jk=7521c7eea69a745e&fccid=1d740cef95db9646&vjs=3
.Net Full Stack Developer,Capgemini Technology Services India Limited,not specified,"Hyderabad, Telangana+1 location","Developer shall be responsible for development and unit test.
Write clean, scalable code using .
Remain up to date with the terminology, concepts and best…",PostedPosted 30+ days ago,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaDeacnyAcjR_xPF4_AGi9kgHcHfBbAiGbTrdK88lQNTyJZipjE23uyzOLYrsKjxJNdKzE1ay0rHZpOzXXiGwHrXaM9htci3i_pt5a2zRkIZIgS8zoO4Usft90w6OhVNHeglhk7YyiNwCQ4kwCpFq0N651Km19Ov5YGgHQjwyh6P6Cm1h0RMCmQwk1CdsYYnD1Kj_Fbes8yRhpiNKUBbj5aNXUFVdl2Ztk_96GyrO-gY_7jEvWb1emaHjdrJvNsStbgvb3DtCVwLPCYrkjO2QpAk0WCv04_kWM6zrXVeZ7kSrZbkhj9A7mXcTge80tqz_Yb7djlj7h2ZZaQUnmdBu35Ra_iIsiaDKW4jBGZlVOnx3fsahH5s8Z3W2zQPJdGkDs-pa7-a526l4C-Byv_XWkpm_hIBiEy1niZpX4430rm9LcRsgeTANIjpUZqO16bAE7YFR8pr_dI19tHSS_nbiErjKCkvsmIYBxf-nW_Lyr94CNn41qUXGFcIUIGufxpHYmJMewr_0RGRQBqaRlk9aiRFG5FBkBLyz_D_N6XpOoRM9gd3H6MgAtbfvgqrJgYZ8NR5uoBlJY3PjI5e81tMgT19uRXb7jFhHKFOjIf0LKn-dtokxKq2W_ExiHCgqRZPGnDgzc0B6UQD_qPdixGkdWK1uPgXK4WQwAFEul0AnnUpzywjeKWOc2xc7_S87iq9DX088TxhUa_ohK0pX9FqHoXhHEL09HLKxF-IfMuobp4IWud3WJg-Kayrr3_f3y7kFHhy9xm84ewFjVt1SI0HIpHRU4yUswNLkGLwg3M_uQF2p2ft-dADq-5IicxEyhYRGf2aYh3-2xCErV2c0Wa2QGdxF7f1h7i_Ra95agApWEyDaogspxixyV4H4clfFGRk1C2_xQ6Uf_PrTemh8V7mJOxQwERJk7dpMEqkMa3aMXCKd2Of3yf0Mh6kdgLdr_vs2Y1ym-GaAlo5Sbb8oaX-8UBdVZLcLZ1q0-dDfDrSMnBX7fK2yh7hnj&xkcb=SoCD-_M3M8vmYOX1KJ0EbzkdCdPP&p=13&fvj=0&vjs=3
Junior JavaScript Engineer,MTechZilla,"₹2,40,000 - ₹3,60,000 a year","Remote in Pune, Maharashtra","Work with development teams and product managers to ideate software solutions.
Design client-side and server-side architecture.",PostedPosted 1 day ago,https://in.indeed.com/company/MTechZilla/jobs/Junior-Javascript-Developer-02b6b31077f369f2?fccid=b3ace42fea8d233c&vjs=3
